"country","city","variable","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","lon","lat"
"Canada","Winnipeg","Population, all ages, administrative data",797283,804582,814645,826551,836698,847161,857182,873361,890123,904275,916217,-97.1385145,49.8954221
"Chile","Antofagasta","Population, all ages, administrative data",335467,340633,345973,351234,356933,363207,369028,374882,381635,395387,410618,-70.3975022,-23.6509279
"Chile","Concepcion","Population, all ages, administrative data",919205,926553,934192,941298,947741,954261,960914,967415,973473,979538,985593,-73.0443904,-36.8201352
"Chile","Coquimbo-La Serena","Population, all ages, administrative data",406196,415374,424852,434560,444242,454156,464253,474125,484341,495466,506847,-71.2519374,-29.9026691
"Chile","Puerto Montt","Population, all ages, administrative data",221363,226627,231795,236727,241293,245735,250087,254391,258579,262245,265863,-72.9411364,-41.468917
"Chile","Rancagua","Population, all ages, administrative data",340860,345916,350984,356022,360926,365822,370813,375963,381585,387367,393205,-70.7406259,-34.1701324
"Chile","Santiago","Population, all ages, administrative data",6666632,6739593,6816491,6894165,6957877,7025923,7100158,7186990,7322872,7513321,7721712,-70.6692655,-33.4488897
"Chile","Talca","Population, all ages, administrative data",249914,253744,257695,261599,265565,269646,273955,278299,282854,287513,292164,-71.6484804,-35.4232444
"Chile","Temuco","Population, all ages, administrative data",408150,412773,417500,422172,426403,430660,435118,439416,443737,448054,452348,-72.5904598,-38.7383905
"Chile","Valparaiso","Population, all ages, administrative data",958547,968609,978852,989379,998919,1008687,1018876,1028935,1040298,1053101,1066313,-71.6126885,-33.047238
"Colombia","Armenia","Population, all ages, administrative data",374815,376306,378034,379683,381222,383000,385105,387932,391474,396153,402697,-75.6756888,4.5350004
"Colombia","Barranquilla","Population, all ages, administrative data",1998615,2024576,2049524,2073576,2097472,2120851,2145204,2175623,2213083,2273642,2366223,-74.8069813,11.0041072
"Colombia","Bogota D.C.","Population, all ages, administrative data",7780285,7880199,7973180,8056860,8132962,8204660,8275953,8360041,8458904,8606595,8873361,-74.072092,4.7109886
"Colombia","Bucaramanga","Population, all ages, administrative data",1032540,1051262,1069256,1086737,1104028,1120986,1138187,1157001,1177635,1204093,1240794,-73.1227416,7.119349
"Colombia","Buenaventura","Population, all ages, administrative data",294554,296080,297593,298906,299904,300895,302099,303516,305003,308188,310194,-77.0197212,3.8830471
"Colombia","Cali","Population, all ages, administrative data",2449622,2465405,2480920,2494493,2505571,2516661,2529036,2543247,2557800,2586678,2607722,-76.5319854,3.4516467
"Colombia","Cartagena","Population, all ages, administrative data",1103644,1116703,1129053,1140835,1152286,1163229,1174360,1186968,1201731,1223368,1263650,-75.4832311,10.3932277
"Colombia","Cucuta","Population, all ages, administrative data",816455,824615,832084,838893,845544,851555,857686,867669,881969,909736,957681,-72.4966896,7.8890971
"Colombia","Ibague","Population, all ages, administrative data",492013,496428,500754,504843,508870,512749,516759,520856,525076,529635,536087,-75.242438,4.444676
"Colombia","Manizales","Population, all ages, administrative data",462626,465633,468697,471895,475240,478927,482731,487469,492748,499055,506797,-75.5027698,5.0629743
"Colombia","Medellin","Population, all ages, administrative data",3328504,3380314,3431457,3481263,3529771,3578863,3628775,3683545,3744028,3818089,3915980,-75.5658153,6.2476376
"Colombia","Monteria","Population, all ages, administrative data",440801,446519,452158,457571,462946,468171,473413,478806,484400,490935,498858,-75.8785348,8.750983
"Colombia","Neiva","Population, all ages, administrative data",322439,326219,330022,333717,337452,341232,345066,349048,352999,357392,361049,-75.2809001,2.9344837
"Colombia","Palmira","Population, all ages, administrative data",332743,334667,336520,338121,339398,340670,342079,343835,345649,349294,352016,-76.2971657,3.5379718
"Colombia","Pasto","Population, all ages, administrative data",375760,378072,380245,382333,384087,385710,387388,389184,390727,392930,392748,-77.285787,1.2058837
"Colombia","Pereira","Population, all ages, administrative data",634975,640586,645979,650920,655193,659462,664670,670625,676831,684447,693177,-75.690601,4.8087174
"Colombia","Popayan","Population, all ages, administrative data",285751,289412,292988,296431,299819,303267,306782,310409,314054,318059,321991,-76.6147395,2.4448143
"Colombia","Riohacha","Population, all ages, administrative data",147265,150847,154539,158325,162196,166070,170031,174676,180175,188014,195747,-72.9167838,11.5384151
"Colombia","Santa Marta","Population, all ages, administrative data",426275,433916,441291,448452,455526,462394,469272,477190,486246,499192,521239,-74.2110227,11.2403547
"Colombia","Sincelejo","Population, all ages, administrative data",247432,250413,253394,256326,259277,262199,265212,268622,272534,277773,286635,-75.3905567,9.3045773
"Colombia","Valledupar","Population, all ages, administrative data",410263,417914,425252,432509,439872,447218,454906,463923,474596,490075,513685,-73.2436335,10.4742449
"Colombia","Villavicencio","Population, all ages, administrative data",443635,454178,464527,474503,484216,493721,503042,512462,521700,531275,538824,-73.6285475,4.1491688
