"country","media_pm25_2019"
"Australia",8.81666666666667
"Austria",11.65
"Belgium",11.1857142857143
"Bulgaria",17.6823529411765
"Canada",6.48461538461538
"Chile",21.85
"Colombia",14.5735849056604
"Croatia",15.1428571428571
"Czechia",14.26
"Denmark",9.675
"Estonia",6.83333333333333
"Finland",5.57142857142857
"France",9.78
"Germany",10.6928571428571
"Greece",15.6857142857143
"Hungary",14.3263157894737
"Iceland",6.5
"Ireland",8.32
"Italy",14.0397590361446
"Japan",12.472131147541
"Korea",25.9181818181818
"Latvia",13.425
"Lithuania",11.1
"Luxembourg",8.5
"Malta",12.8
"Mexico",14.0130434782609
"Netherlands",11.3314285714286
"New Zealand",7.57142857142857
"Norway",6.4
"Poland",18.1551724137931
"Portugal",7.79166666666667
"Romania",14.6314285714286
"Slovak Republic",16.3125
"Slovenia",15
"Spain",9.54074074074074
"Sweden",6.18333333333333
"Switzerland",10.21
"Türkiye",25.8346153846154
"United Kingdom",9.91931818181818
"United States",7.0654028436019
